Canadian Citizen,Month,Neighbourhood Name,Neighbourhood Number,No Response(Citizen),Non-Canadian Citizen,Quarter,Refugee,WARD,Year
0,1,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,2011
0,2,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,2011
0,3,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,2011
0,4,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,2011
0,5,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,2011
0,6,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,2011
0,7,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,2011
0,8,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,2011
0,9,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,2011
0,10,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,2011
0,11,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,2011
0,12,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,2011
4756,1,ALDERGROVE,4020,189,570,1,0,Ward 1,2011
4756,2,ALDERGROVE,4020,189,570,1,0,Ward 1,2011
4756,3,ALDERGROVE,4020,189,570,1,0,Ward 1,2011
4756,4,ALDERGROVE,4020,189,570,2,0,Ward 1,2011
4756,5,ALDERGROVE,4020,189,570,2,0,Ward 1,2011
4756,6,ALDERGROVE,4020,189,570,2,0,Ward 1,2011
4756,7,ALDERGROVE,4020,189,570,3,0,Ward 1,2011
4756,8,ALDERGROVE,4020,189,570,3,0,Ward 1,2011
4756,9,ALDERGROVE,4020,189,570,3,0,Ward 1,2011
4756,10,ALDERGROVE,4020,189,570,4,0,Ward 1,2011
4756,11,ALDERGROVE,4020,189,570,4,0,Ward 1,2011
4756,12,ALDERGROVE,4020,189,570,4,0,Ward 1,2011
0,1,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,2011
0,2,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,2011
0,3,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,2011
0,4,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,2011
0,5,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,2011
0,6,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,2011
0,7,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,2011
0,8,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,2011
0,9,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,2011
0,10,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,2011
0,11,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,2011
0,12,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,2011
0,1,ARMSTRONG INDUSTRIAL,4030,125,0,1,0,Ward 1,2011
0,2,ARMSTRONG INDUSTRIAL,4030,125,0,1,0,Ward 1,2011
0,3,ARMSTRONG INDUSTRIAL,4030,125,0,1,0,Ward 1,2011
0,4,ARMSTRONG INDUSTRIAL,4030,125,0,2,0,Ward 1,2011
0,5,ARMSTRONG INDUSTRIAL,4030,125,0,2,0,Ward 1,2011
0,6,ARMSTRONG INDUSTRIAL,4030,125,0,2,0,Ward 1,2011
0,7,ARMSTRONG INDUSTRIAL,4030,125,0,3,0,Ward 1,2011
0,8,ARMSTRONG INDUSTRIAL,4030,125,0,3,0,Ward 1,2011
0,9,ARMSTRONG INDUSTRIAL,4030,125,0,3,0,Ward 1,2011
0,10,ARMSTRONG INDUSTRIAL,4030,125,0,4,0,Ward 1,2011
0,11,ARMSTRONG INDUSTRIAL,4030,125,0,4,0,Ward 1,2011
0,12,ARMSTRONG INDUSTRIAL,4030,125,0,4,0,Ward 1,2011
3942,1,BELMEAD,4040,181,480,1,0,Ward 1,2011
