WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,PRESCHOOL,KINDERGARTEN-GR.6,GR.7-GR.9,GR.10-GR.12,POST_SECONDARY_STUDENT,HOMEMAKER,EMPLOYED_0-30_HRS,EMPLOYED_30+_HRS,UNEMPLOYED,RETIRED,PERMANENTLY_UNABLE_TO_WORK,NO_RESPONSE
Ward 1,3140,CRESTWOOD,68,162,82,81,110,89,152,771,18,438,15,301
Ward 1,3330,PARKVIEW,151,236,111,117,184,110,255,1401,40,546,16,146
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,304,358,155,178,236,211,357,2366,125,475,53,532
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,121
Ward 1,4040,BELMEAD,241,391,172,168,204,146,305,1844,147,474,55,462
Ward 1,4060,BRITANNIA YOUNGSTOWN,119,217,77,84,109,137,231,1441,160,391,118,1621
Ward 1,4090,CANORA,137,163,71,75,98,103,184,1187,118,237,98,877
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,208,227,124,112,108,114,253,1838,174,728,72,1324
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,41,53,29,22,16,48,56,493,30,211,20,363
Ward 1,4230,JASPER PARK,59,93,40,49,59,46,90,771,46,222,53,339
Ward 1,4240,LA PERLE,275,445,204,171,242,208,364,2194,151,509,67,366
Ward 1,4290,MAYFIELD,100,93,40,51,50,62,182,780,41,241,39,283
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
