WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,OCCUPIED,UNOCCUPIED,VACANT_LOT,UNDER_CONSTRUCTION,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,1946,34,5,0,32,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,1,1,0,0,13,0
Ward 1,4040,BELMEAD,1656,24,0,1,21,0
Ward 1,4700,BRECKENRIDGE GREENS,757,11,0,0,5,0
Ward 1,4060,BRITANNIA YOUNGSTOWN,2237,73,0,17,71,0
Ward 1,4090,CANORA,1566,120,1,54,87,0
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0
Ward 1,3140,CRESTWOOD,912,26,2,12,6,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,2230,166,1,3,38,0
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,594,37,3,6,9,0
Ward 1,4230,JASPER PARK,883,48,3,2,40,0
Ward 1,4475,KINOKAMAU PLAINS AREA,41,2,0,1,10,0
Ward 1,4240,LA PERLE,1954,46,3,8,17,0
Ward 1,4485,LEWIS FARMS INDUSTRIAL,31,2,0,0,4,0
Ward 1,4290,MAYFIELD,858,28,0,2,22,0
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,1167,33,1,0,11,0
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0
Ward 1,3330,PARKVIEW,1282,45,0,6,10,0
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0
Ward 1,4710,POTTER GREENS,559,9,0,1,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,61,6,0,10,2,0
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0,0,0,0
Ward 1,4487,SECORD,335,26,0,2,2,0
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,578,45,1,4,6,0
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4730,SUDER GREENS,994,28,0,18,2,0
Ward 1,4520,SUMMERLEA,964,37,0,0,7,0
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,1365,76,0,0,17,0
Ward 1,4471,TRUMPETER AREA,66,33,1,48,0,0
Ward 1,4740,WEBBER GREENS,176,29,1,74,0,0
Ward 1,4580,WEST JASPER PLACE,1494,93,4,3,106,0
Ward 1,4590,WEST MEADOWLARK PARK,1316,53,0,0,19,0
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1039,29,1,1,7,0
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,18,1,0,0,4,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0
Ward 2,3460,ALBANY,0,0,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0
Ward 2,3010,ATHLONE,1155,42,0,1,10,0
Ward 2,3020,BARANOW,735,9,0,0,7,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0
Ward 2,3060,CAERNARVON,1573,32,0,0,19,0
Ward 2,3070,CALDER,1782,88,4,9,81,0
Ward 2,3090,CARLISLE,1364,34,1,0,15,0
Ward 2,3470,CARLTON,931,39,1,407,9,0
Ward 2,3150,CUMBERLAND,2123,36,0,1,6,0
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0
Ward 2,3170,DOVERCOURT,867,32,1,0,1,0
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3111,GRIESBACH,1303,71,48,140,69,0
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0
Ward 2,3480,HUDSON,687,4,0,2,1,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3240,INGLEWOOD,3605,334,30,30,171,0
Ward 2,3250,KENSINGTON,1596,123,1,1,33,0
Ward 2,3260,LAUDERDALE,1143,113,1,0,77,0
