Ward,Neighbourhood Number,Neighbourhood Name,Occupied,Unoccupied,No Longer In Use,No Response
WARD 1,3140,CRESTWOOD,916,32,0,0
WARD 1,3330,PARKVIEW,1300,46,6,0
WARD 6,3210,GROVENOR,938,172,49,0
WARD 11,6680,SATOO,1225,44,0,0
WARD 4,2611,CY BECKER,225,33,3,0
WARD 4,2251,EBBERS,37,19,0,0
WARD 5,4380,ORMSBY PLACE,1900,56,0,0
WARD 1,4090,CANORA,1510,167,25,0
WARD 10,5280,MALMO PLAINS,1230,54,18,0
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,292,54,0,0
WARD 9,5453,BLACKMUD CREEK,1038,26,0,0
WARD 10,5020,ASPEN GARDENS,630,18,0,0
WARD 8,5040,BELGRAVIA,920,35,17,0
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
WARD 6,1150,OLIVER,12501,1475,177,0
WARD 6,1020,BOYLE STREET,3972,815,126,0
WARD 7,1160,PARKDALE,1602,174,72,0
WARD 12,6790,WILD ROSE,2440,58,16,0
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0
WARD 12,6660,RURAL SOUTH EAST,61,32,0,0
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0
WARD 7,1010,ALBERTA AVENUE,3047,371,174,0
WARD 11,6400,LEE RIDGE,985,85,3,0
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0
WARD 4,2541,MILLER,1117,31,0,0
WARD 2,3460,ALBANY,548,59,3,0
WARD 2,1250,WESTWOOD,1827,321,2,0
WARD 9,5590,BLACKBURNE,557,22,2,0
WARD 9,5340,RAMSAY HEIGHTS,1362,52,2,0
WARD 1,4240,LA PERLE,1953,77,11,0
WARD 7,2420,KILLARNEY,1694,181,36,0
WARD 2,3350,PRINCE CHARLES,586,101,13,0
WARD 5,4570,WEDGEWOOD HEIGHTS,502,14,0,0
WARD 6,1220,ROSSDALE,467,32,0,0
WARD 10,5210,GRANDVIEW HEIGHTS,435,12,1,0
WARD 5,4140,ELMWOOD,998,74,2,0
WARD 1,4700,BRECKENRIDGE GREENS,748,18,7,0
WARD 3,3030,BATURYN,1748,49,4,0
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0
WARD 12,6443,TAMARACK,1438,203,0,0
WARD 5,4466,CAMERON HEIGHTS,540,205,0,0
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0
WARD 9,5505,AMBLESIDE,2206,186,5,0
WARD 6,3440,WESTMOUNT,3052,400,81,0
WARD 3,2260,EVANSDALE,2116,84,1,0
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0
WARD 10,5320,PLEASANTVIEW,1978,96,10,0
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0
WARD 11,6020,AVONMORE,968,49,0,0
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0
WARD 6,1090,DOWNTOWN,8690,1201,345,0
WARD 4,2720,YORK,1455,78,8,0
WARD 5,4610,WESTRIDGE,485,14,0,0
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0
WARD 1,4040,BELMEAD,1642,68,28,0
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0
WARD 9,5577,GLENRIDDING AREA,513,163,2,0
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0
WARD 8,6550,OTTEWELL,2489,298,16,0
WARD 9,5467,CAVANAGH,0,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
WARD 2,3250,KENSINGTON,1639,98,33,0
WARD 12,6770,WEINLOS,1165,42,1,0
WARD 9,5468,GRAYDON HILL,52,100,0,0
WARD 2,3320,OXFORD,1333,111,3,0
WARD 11,6300,HILLVIEW,1349,50,2,0
WARD 1,4011,ANTHONY HENDAY,0,0,0,0
WARD 4,2320,HAIRSINE,968,42,1,0
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0
WARD 10,5470,STEINHAUER,775,14,1,0
WARD 11,6670,SAKAW,1381,35,0,0
WARD 10,5250,KEHEEWIN,1215,28,0,0
WARD 10,5490,SWEET GRASS,1061,74,0,0
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0
WARD 6,1180,QUEEN MARY PARK,3947,662,17,0
WARD 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0
WARD 1,4230,JASPER PARK,837,60,27,0
WARD 2,3111,GRIESBACH,1754,436,6,0
WARD 12,6150,DALY GROVE,1175,73,4,0
WARD 7,2010,ABBOTTSFIELD,685,44,1,0
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0
WARD 2,3410,SHERBROOKE,1066,48,9,0
WARD 1,4710,POTTER GREENS,566,3,0,0
WARD 11,6360,KING EDWARD PARK,1918,249,110,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0
WARD 7,2400,KILDARE,1166,75,3,0
WARD 4,2530,MCLEOD,862,22,0,0
WARD 4,2120,CANON RIDGE,1029,49,1,0
WARD 9,5462,CHAPPELLE AREA,1642,405,0,0
WARD 5,4110,DECHENE,592,4,0,0
WARD 11,6460,MEYOKUMIN,1015,33,10,0
WARD 3,2241,EAUX CLAIRES,1252,124,6,0
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,30,2,2,0
WARD 2,3170,DOVERCOURT,866,40,2,0
WARD 10,5270,LENDRUM PLACE,819,32,2,0
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0
WARD 10,5540,WESTBROOK ESTATES,482,11,0,0
WARD 10,5430,ROYAL GARDENS,1402,52,9,0
WARD 12,6213,SUMMERSIDE,4491,486,23,0
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0
WARD 3,2463,CRYSTALLINA NERA WEST,360,135,1,0
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0
WARD 2,3070,CALDER,1749,262,52,0
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,19,27,0,0
WARD 9,5469,PAISLEY,189,33,0,0
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0
WARD 3,2050,BELLE RIVE,1162,19,0,0
WARD 1,4475,KINOKAMAU PLAINS AREA,49,6,0,0
WARD 9,5458,ALLARD,1058,753,0,0
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,233,3,0,0
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0
WARD 5,4461,THE HAMPTONS,4003,428,4,0
WARD 8,6710,STRATHEARN,1480,71,18,0
WARD 8,6240,FULTON PLACE,938,42,5,0
WARD 1,4730,SUDER GREENS,1167,35,0,0
WARD 5,3270,LAURIER HEIGHTS,1215,38,3,0
WARD 4,2030,BANNERMAN,1157,70,7,0
WARD 11,6110,CPR IRVINE,99,7,0,0
WARD 2,3430,WELLINGTON,1180,82,0,0
WARD 5,4462,EDGEMONT,538,244,3,0
WARD 8,5200,GARNEAU,5566,664,104,0
WARD 1,4180,GLENWOOD,2184,230,23,0
WARD 9,5100,BULYEA HEIGHTS,1190,18,3,0
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0
WARD 7,1100,EASTWOOD,1897,399,54,0
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0
WARD 11,6470,MEYONOHK,1112,29,0,0
WARD 4,2670,RURAL NORTH EAST HORSE HILL,142,2,1,0
WARD 9,5130,CARTER CREST,611,6,0,0
WARD 10,5030,BEARSPAW,817,79,0,0
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0
WARD 10,5220,GREENFIELD,1401,68,40,0
WARD 9,5300,OGILVIE RIDGE,360,3,0,0
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0
WARD 12,6441,MAPLE,408,114,0,0
WARD 11,6510,MILL WOODS PARK,0,0,0,0
WARD 10,5170,EMPIRE PARK,2300,169,2,0
WARD 5,4120,DONSDALE,528,185,0,0
WARD 11,6600,RICHFIELD,1129,57,2,0
WARD 7,1070,CROMDALE,1101,178,1,0
WARD 7,1080,DELTON,847,96,23,0
WARD 8,6270,GOLD BAR,1121,52,21,0
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0
WARD 10,5010,ALLENDALE,1258,197,54,0
WARD 12,6444,LAUREL,2155,448,7,0
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0
WARD 6,3310,NORTH GLENORA,803,91,0,0
WARD 12,6530,MINCHAU,1077,55,7,0
WARD 2,3020,BARANOW,975,139,0,0
WARD 8,6230,FOREST HEIGHTS,1897,547,93,0
WARD 9,5454,RUTHERFORD,4095,189,7,0
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0
WARD 4,2340,HOLLICK-KENYON,2074,145,3,0
WARD 5,4360,OLESKIW,1090,14,0,0
WARD 1,4590,WEST MEADOWLARK PARK,1470,159,16,0
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0
WARD 1,4486,STEWART GREENS,75,19,0,0
WARD 11,6290,HAZELDEAN,1348,142,25,0
WARD 9,5620,HODGSON,942,33,1,0
WARD 1,4200,HIGH PARK,663,15,13,0
WARD 4,2521,MCCONACHIE AREA,1918,216,1,0
