WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,EDMONTON_PUBLIC,EDMONTON_CATHOLIC,NO_RESPONSE
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0
Ward 1,4020,ALDERGROVE,3780,1392,343
Ward 1,4011,ANTHONY HENDAY,0,0,0
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,125
Ward 1,4040,BELMEAD,3058,1119,426
Ward 1,4700,BRECKENRIDGE GREENS,1354,502,55
Ward 1,4060,BRITANNIA YOUNGSTOWN,3060,871,828
Ward 1,4090,CANORA,2164,672,499
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0
Ward 1,3140,CRESTWOOD,1251,584,488
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0
Ward 1,4180,GLENWOOD,3070,1275,750
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0
Ward 1,4473,HAWKS RIDGE,0,0,0
Ward 1,4200,HIGH PARK,874,316,199
Ward 1,4230,JASPER PARK,1016,233,591
Ward 1,4475,KINOKAMAU PLAINS AREA,23,26,57
Ward 1,4240,LA PERLE,2945,1112,1065
Ward 1,4485,LEWIS FARMS INDUSTRIAL,39,3,33
Ward 1,4290,MAYFIELD,1314,467,187
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0
Ward 1,4310,MEADOWLARK PARK,1153,324,1131
Ward 1,4340,MORIN INDUSTRIAL,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0
Ward 1,3330,PARKVIEW,2101,885,348
Ward 1,4400,PLACE LARUE,0,0,0
Ward 1,4710,POTTER GREENS,1081,387,52
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,56,21,75
Ward 1,4480,RURAL WEST LEWIS FARMS,0,0,0
Ward 1,4487,SECORD,382,140,392
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4500,SHERWOOD,726,189,339
Ward 1,4486,STEWART GREENS,0,0,0
Ward 1,4510,STONE INDUSTRIAL,0,0,0
Ward 1,4730,SUDER GREENS,1795,819,197
Ward 1,4520,SUMMERLEA,1139,378,541
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0
Ward 1,4540,TERRA LOSA,1279,493,416
Ward 1,4471,TRUMPETER AREA,65,25,70
Ward 1,4740,WEBBER GREENS,388,136,25
Ward 1,4580,WEST JASPER PLACE,1688,557,721
Ward 1,4590,WEST MEADOWLARK PARK,1287,503,1546
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,1560,345,337
Ward 1,4630,WHITE INDUSTRIAL,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,2,2,159
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0
Ward 2,3460,ALBANY,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0
Ward 2,3010,ATHLONE,1692,1141,283
Ward 2,3020,BARANOW,604,240,293
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0
Ward 2,3050,BROWN INDUSTRIAL,0,0,0
Ward 2,3060,CAERNARVON,2536,1332,348
Ward 2,3070,CALDER,2638,940,481
Ward 2,3090,CARLISLE,2286,1127,435
Ward 2,3470,CARLTON,1754,878,105
Ward 2,3150,CUMBERLAND,3493,2073,853
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0
Ward 2,3170,DOVERCOURT,1268,441,339
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0
Ward 2,3111,GRIESBACH,1828,715,678
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0
Ward 2,3480,HUDSON,1174,682,164
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0
Ward 2,3240,INGLEWOOD,4670,1154,486
Ward 2,3250,KENSINGTON,2429,782,384
Ward 2,3260,LAUDERDALE,1787,561,385
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0
Ward 2,3320,OXFORD,1834,1216,349
Ward 2,3340,PEMBINA,189,110,207
Ward 2,3350,PRINCE CHARLES,572,147,604
Ward 2,1170,PRINCE RUPERT,837,321,181
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0
Ward 2,3390,ROSSLYN,1995,579,328
Ward 2,3400,RURAL NORTH WEST,0,0,0
Ward 2,3410,SHERBROOKE,1356,618,464
Ward 2,1230,SPRUCE AVENUE,976,387,757
Ward 2,3430,WELLINGTON,1839,798,503
Ward 2,1250,WESTWOOD,2227,576,512
Ward 2,3450,WOODCROFT,1870,557,171
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,80
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0
Ward 3,3030,BATURYN,2977,1546,396
Ward 3,3040,BEAUMARIS,2503,1483,398
Ward 3,2050,BELLE RIVE,2253,1423,269
Ward 3,3080,CANOSSA,1802,1235,177
Ward 3,3120,CHAMBERY,1111,862,91
Ward 3,2210,CRYSTALLINA NERA,0,0,0
Ward 3,3180,DUNLUCE,3772,1884,701
Ward 3,2241,EAUX CLAIRES,1787,933,515
Ward 3,3190,ELSINORE,1060,858,231
Ward 3,2260,EVANSDALE,3453,1549,658
Ward 3,2410,KILKENNY,3727,1582,406
Ward 3,2440,KLARVATTEN,2190,1593,1006
Ward 3,2450,LAGO LINDO,2472,1374,148
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,0,0,0
Ward 3,3280,LORELEI,2491,1100,436
Ward 3,2511,MAYLIEWAN,2274,1564,368
Ward 3,2600,OZERNA,2386,1436,673
Ward 3,3370,RAPPERSWILL,0,0,0
Ward 3,2700,SCHONSEE,1085,554,73
Ward 4,2030,BANNERMAN,2202,687,165
Ward 4,2070,BELMONT,2863,1507,844
Ward 4,2080,BELVEDERE,3324,1009,752
Ward 4,2110,BRINTNELL,3096,1427,654
Ward 4,2120,CANON RIDGE,1414,442,169
Ward 4,2130,CASSELMAN,1936,953,516
Ward 4,2145,CLAREVIEW TOWN CENTRE,2047,768,415
Ward 4,2160,CLOVER BAR AREA,0,0,0
Ward 4,2251,EBBERS,0,0,0
Ward 4,2270,EVERGREEN,948,170,332
Ward 4,2280,FRASER,2272,785,248
Ward 4,2311,GORMAN,0,0,0
Ward 4,2320,HAIRSINE,1493,732,245
Ward 4,2340,HOLLICK-KENYON,3206,1586,419
Ward 4,2350,HOMESTEADER,1785,958,540
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0
Ward 4,2390,KERNOHAN,1611,1031,439
Ward 4,2430,KIRKNESS,2548,819,373
Ward 4,2500,MATT BERRY,2302,1249,529
Ward 4,2521,MCCONACHIE AREA,398,313,186
Ward 4,2530,MCLEOD,1473,776,65
Ward 4,2541,MILLER,1865,912,345
Ward 4,2590,OVERLANDERS,1655,643,565
Ward 4,2610,PILOT SOUND AREA WEST PORTION,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,150,27,393
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,118,25,332
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,247,300,58
Ward 4,2710,SIFTON PARK,1169,464,656
Ward 4,2720,YORK,2378,1092,366
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,1522,508,345
Ward 5,4080,CALLINGWOOD SOUTH,3554,1226,808
Ward 5,4466,CAMERON HEIGHTS,642,333,150
Ward 5,4110,DECHENE,822,515,384
Ward 5,4120,DONSDALE,718,317,273
Ward 5,4140,ELMWOOD,1459,506,648
Ward 5,4160,GARIEPY,1337,310,241
Ward 5,4720,GLASTONBURY,3649,1649,686
Ward 5,4551,GRANVILLE,157,48,17
Ward 5,4220,JAMIESON PLACE,2652,945,325
Ward 5,3270,LAURIER HEIGHTS,1407,466,767
Ward 5,4270,LYMBURN,3699,1693,537
Ward 5,4280,LYNNWOOD,2096,716,490
Ward 5,4360,OLESKIW,2148,717,129
Ward 5,4380,ORMSBY PLACE,3439,1216,668
Ward 5,4390,PATRICIA HEIGHTS,1117,339,295
Ward 5,4420,QUESNELL HEIGHTS,214,48,84
Ward 5,4430,RIO TERRACE,991,256,58
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0
Ward 5,4460,RURAL WEST,315,187,57
Ward 5,4461,THE HAMPTONS,5429,2827,1149
Ward 5,4560,THORNCLIFF,2126,1058,319
Ward 5,4570,WEDGEWOOD HEIGHTS,664,273,533
Ward 5,4610,WESTRIDGE,921,279,127
Ward 6,1020,BOYLE STREET,2425,846,3676
Ward 6,1030,CENTRAL MCDOUGALL,2546,731,1435
Ward 6,1090,DOWNTOWN,6234,1214,4751
Ward 6,3200,GLENORA,2232,658,624
Ward 6,3210,GROVENOR,1347,405,610
Ward 6,1140,MCCAULEY,1673,641,1869
Ward 6,3300,MCQUEEN,978,173,537
Ward 6,3310,NORTH GLENORA,1126,312,574
Ward 6,1150,OLIVER,10642,2780,5158
Ward 6,1180,QUEEN MARY PARK,4609,1724,1052
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0
Ward 6,1210,RIVERDALE,1450,361,169
Ward 6,1220,ROSSDALE,546,125,148
Ward 6,3440,WESTMOUNT,2349,638,2913
Ward 7,2010,ABBOTTSFIELD,1187,333,368
Ward 7,1010,ALBERTA AVENUE,3744,1079,1353
Ward 7,2020,BALWIN,2277,962,624
Ward 7,2040,BEACON HEIGHTS,1853,774,396
Ward 7,2060,BELLEVUE,687,127,125
Ward 7,2090,BERGMAN,1080,330,44
Ward 7,2100,BEVERLY HEIGHTS,2096,760,344
Ward 7,1070,CROMDALE,1435,325,167
Ward 7,1080,DELTON,1077,372,583
Ward 7,2230,DELWOOD,1961,958,473
Ward 7,1100,EASTWOOD,2417,932,716
Ward 7,1120,EDMONTON NORTHLANDS,3,0,85
Ward 7,1130,ELMWOOD PARK,519,263,312
Ward 7,2290,GLENGARRY,1859,897,160
Ward 7,2330,HIGHLANDS,1559,339,733
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0
Ward 7,2400,KILDARE,1325,557,881
Ward 7,2420,KILLARNEY,2630,947,437
Ward 7,2550,MONTROSE,2314,581,354
Ward 7,2560,NEWTON,1516,1160,234
Ward 7,2580,NORTHMOUNT,1790,1003,454
Ward 7,1160,PARKDALE,2114,800,291
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,2046,653,660
Ward 7,1240,VIRGINIA PARK,474,124,195
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0
Ward 8,5040,BELGRAVIA,1684,188,269
Ward 8,6040,BONNIE DOON,2797,1133,620
Ward 8,6061,CAPILANO,1900,533,259
Ward 8,6070,CLOVERDALE,623,192,70
Ward 8,5150,CPR WEST,0,0,0
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0
Ward 8,6230,FOREST HEIGHTS,1764,656,1575
Ward 8,6240,FULTON PLACE,1859,343,42
Ward 8,5200,GARNEAU,6230,872,2546
Ward 8,6270,GOLD BAR,2225,553,62
Ward 8,6310,HOLYROOD,2456,501,378
Ward 8,6320,IDYLWYLDE,1279,336,163
Ward 8,6350,KENILWORTH,1683,478,346
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,187
Ward 8,5290,MCKERNAN,1892,228,697
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0
Ward 8,6550,OTTEWELL,4124,1178,567
Ward 8,5330,QUEEN ALEXANDRA,3349,369,976
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0
